path,month,label,set_name,taken_datetime,day_of_year,transform_day_of_year
banana/20180119-2-0360.JPG,1,banana,train,2018/1/18 16:12,18,0.148351648
banana/20180119-2-0359.JPG,1,banana,train,2018/1/18 16:12,18,0.148351648
banana/20170121-3-0618.JPG,1,banana,train,2017/1/20 11:49,20,0.159340659
banana/20180119-2-0539.JPG,1,banana,valid,2018/1/19 14:49,19,0.153846154
banana/20180119-1-0015.JPG,1,banana,train,2017/1/18 11:13,18,0.148351648
banana/20180120-1-0077.JPG,1,banana,train,2017/1/19 10:29,19,0.153846154
banana/160126-3-0052.JPG,1,banana,train,2016/1/26 15:10,26,0.192307692
banana/20180123-1-0448.JPG,1,banana,valid,2018/1/23 16:04,23,0.175824176
banana/160108-3-0434.JPG,1,banana,valid,2016/1/8 10:34,8,0.093406593
banana/20180119-2-0366.JPG,1,banana,train,2018/1/18 16:13,18,0.148351648
banana/20170121-3-0528.JPG,1,banana,train,2017/1/20 10:41,20,0.159340659
banana/20180126-2-0203.JPG,1,banana,test,2018/1/26 09:38,26,0.192307692
banana/20170121-3-0545.JPG,1,banana,test,2017/1/20 10:57,20,0.159340659
banana/20180126-1-0320.JPG,1,banana,test,2018/1/25 14:31,25,0.186813187
banana/20170121-3-0633.JPG,1,banana,train,2017/1/20 12:03,20,0.159340659
banana/160107-3-0035.JPG,1,banana,test,2016/1/7 09:44,7,0.087912088
banana/20180119-2-0397.JPG,1,banana,train,2018/1/18 16:22,18,0.148351648
banana/20170121-3-0514.JPG,1,banana,train,2017/1/20 10:35,20,0.159340659
banana/20180119-1-0014.JPG,1,banana,train,2017/1/18 11:13,18,0.148351648
banana/20180118-2-0380.JPG,1,banana,train,2018/1/18 10:05,18,0.148351648
banana/20180120-1-0308.JPG,1,banana,test,2018/1/19 10:31,19,0.153846154
banana/20170122-3-0475.JPG,1,banana,train,2017/1/21 09:54,21,0.164835165
banana/20180119-2-0278.JPG,1,banana,train,2018/1/18 15:52,18,0.148351648
banana/160114-2-0437.JPG,1,banana,valid,2016/1/14 15:13,14,0.126373626
banana/20180119-2-0408.JPG,1,banana,train,2018/1/18 16:26,18,0.148351648
banana/160112-3-0002.JPG,1,banana,train,2016/1/12 11:40,12,0.115384615
banana/20180125-1-0340.JPG,1,banana,train,2018/1/24 16:30,24,0.181318681
banana/20170121-3-0584.JPG,1,banana,train,2017/1/20 11:23,20,0.159340659
banana/160107-3-0537.JPG,1,banana,train,2016/1/7 15:00,7,0.087912088
banana/20180125-2-0331.JPG,1,banana,train,2018/1/25 10:04,25,0.186813187
banana/160126-3-0065.JPG,1,banana,train,2016/1/26 15:14,26,0.192307692
banana/20170223-2-0594.JPG,2,banana,train,2017/2/23 14:32,54,0.346153846
banana/20180205-2-0064.JPG,2,banana,train,2017/2/4 11:39,35,0.241758242
banana/20170217-3-0370.JPG,2,banana,train,2017/2/16 14:57,47,0.307692308
banana/20180224-1-0062.JPG,2,banana,train,2017/2/24 11:06,55,0.351648352
banana/20180224-1-0022.JPG,2,banana,test,2017/2/24 10:45,55,0.351648352
banana/20170224-2-0262.JPG,2,banana,train,2017/2/24 10:16,55,0.351648352
banana/20170224-4-0185.JPG,2,banana,train,2017/2/24 15:55,55,0.351648352
banana/20170224-2-0438.JPG,2,banana,test,2017/2/24 11:37,55,0.351648352
banana/20180224-1-0231.JPG,2,banana,train,2018/2/24 11:00,55,0.351648352
banana/20170214-3-0173.JPG,2,banana,train,2017/2/14 10:22,45,0.296703297
banana/20170216-3-0019.JPG,2,banana,train,2017/2/15 11:18,46,0.302197802
banana/20170222-3-0192.JPG,2,banana,valid,2017/2/22 11:13,53,0.340659341
banana/20180204-1-0236.JPG,2,banana,test,2017/2/3 10:26,34,0.236263736
banana/160207-1-0061.JPG,2,banana,valid,2016/2/7 08:17,38,0.258241758
banana/20170216-3-0250.JPG,2,banana,train,2017/2/16 09:40,47,0.307692308
banana/20170218-3-0653.JPG,2,banana,train,2017/2/17 16:06,48,0.313186813
banana/160301-3-0048.JPG,3,banana,train,2016/3/1 09:18,61,0.384615385
banana/160301-3-0053.JPG,3,banana,train,2016/3/1 09:19,61,0.384615385
banana/160322-3-0013.JPG,3,banana,test,2016/3/22 09:25,82,0.5
banana/20170315-3-0097.JPG,3,banana,valid,2017/3/15 11:54,74,0.456043956
banana/20180310-1-0061.JPG,3,banana,train,2017/3/10 09:51,69,0.428571429
banana/160305-3-0316.JPG,3,banana,train,2016/3/5 10:33,65,0.406593407
banana/160329-3-0658.JPG,3,banana,train,2016/3/29 11:44,89,0.538461538
banana/160329-3-0761.JPG,3,banana,valid,2016/3/29 14:46,89,0.538461538
banana/160302-3-0714.JPG,3,banana,test,2016/3/2 15:21,62,0.39010989
banana/160305-3-0382.JPG,3,banana,train,2016/3/5 11:39,65,0.406593407
banana/20180309-1-0511.JPG,3,banana,valid,2018/3/9 10:53,68,0.423076923
banana/160303-4-0463.JPG,3,banana,valid,2016/3/3 14:57,63,0.395604396
banana/160329-3-0490.JPG,3,banana,train,2016/3/29 10:02,89,0.538461538
banana/20170313-3-0129.JPG,3,banana,valid,2017/3/13 11:42,72,0.445054945
banana/20170315-3-0018.JPG,3,banana,train,2017/3/15 11:05,74,0.456043956
banana/20170310-3-0323.JPG,3,banana,train,2017/3/10 11:02,69,0.428571429
banana/20180310-2-0260.JPG,3,banana,train,2018/3/10 15:20,69,0.428571429
banana/20180328-1-0162.JPG,3,banana,train,2018/3/28 09:50,87,0.527472527
banana/160305-3-0376.JPG,3,banana,train,2016/3/5 11:35,65,0.406593407
banana/160327-3-0464.JPG,3,banana,train,2016/3/27 14:50,87,0.527472527
banana/160322-3-0470.JPG,3,banana,test,2016/3/22 09:39,82,0.5
banana/160305-3-0139.JPG,3,banana,train,2016/3/5 11:09,65,0.406593407
banana/20170314-3-0113.JPG,3,banana,train,2017/3/14 11:41,73,0.450549451
banana/160302-4-0416.JPG,3,banana,test,2016/3/2 10:59,62,0.39010989
banana/20180329-1-0514.JPG,3,banana,train,2018/3/29 11:28,88,0.532967033
banana/160303-3-0440.JPG,3,banana,train,2016/3/3 15:16,63,0.395604396
banana/160301-3-0249.JPG,3,banana,train,2016/3/1 11:26,61,0.384615385
banana/160331-1-0217.JPG,3,banana,train,2016/3/31 15:48,91,0.549450549
banana/20180314-1-0707.JPG,3,banana,train,2018/3/14 12:05,73,0.450549451
banana/20180325-1-0240.JPG,3,banana,valid,2018/3/24 10:14,83,0.505494505
banana/160305-3-0310.JPG,3,banana,train,2016/3/5 10:30,65,0.406593407
banana/20170313-4-0437.JPG,3,banana,train,2017/3/13 16:32,72,0.445054945
banana/20170312-3-0304.JPG,3,banana,test,2017/3/15 09:18,74,0.456043956
banana/20170310-4-0316.JPG,3,banana,train,2017/3/10 14:48,69,0.428571429
banana/160303-3-0180.JPG,3,banana,test,2016/3/3 11:01,63,0.395604396
banana/160329-3-0674.JPG,3,banana,valid,2016/3/29 11:49,89,0.538461538
banana/160305-3-0069.JPG,3,banana,train,2016/3/5 10:18,65,0.406593407
banana/20180310-2-0166.JPG,3,banana,train,2017/3/10 15:38,69,0.428571429
banana/160305-3-0258.JPG,3,banana,train,2016/3/5 09:58,65,0.406593407
banana/160305-3-0105.JPG,3,banana,test,2016/3/5 10:49,65,0.406593407
banana/160305-3-0136.JPG,3,banana,train,2016/3/5 11:07,65,0.406593407
banana/160305-3-0111.JPG,3,banana,train,2016/3/5 10:52,65,0.406593407
banana/20170313-4-0298.JPG,3,banana,train,2017/3/13 15:36,72,0.445054945
banana/160302-3-0384.JPG,3,banana,valid,2016/3/2 10:13,62,0.39010989
banana/20170313-3-0203.JPG,3,banana,train,2017/3/13 11:26,72,0.445054945
banana/160303-3-0140.JPG,3,banana,train,2016/3/3 10:39,63,0.395604396
banana/160301-3-0006.JPG,3,banana,train,2016/3/1 09:01,61,0.384615385
banana/160305-3-0286.JPG,3,banana,train,2016/3/5 10:13,65,0.406593407
banana/20180312-1-0524.JPG,3,banana,train,2018/3/12 15:22,71,0.43956044
banana/160305-3-0067.JPG,3,banana,test,2016/3/5 10:16,65,0.406593407
banana/160313-1-0437.JPG,3,banana,valid,2016/3/13 16:51,73,0.450549451
banana/20180309-1-0299.JPG,3,banana,train,2018/3/9 09:47,68,0.423076923
banana/20170327-3-0391.JPG,3,banana,train,2017/3/27 11:42,86,0.521978022
banana/20180314-1-0450.JPG,3,banana,train,2018/3/14 10:01,73,0.450549451
banana/160305-3-0157.JPG,3,banana,train,2016/3/5 11:17,65,0.406593407
banana/160322-3-0158.JPG,3,banana,train,2016/3/22 10:55,82,0.5
banana/20170310-3-0324.JPG,3,banana,train,2017/3/10 11:02,69,0.428571429
banana/20170315-3-0306.JPG,3,banana,train,2017/3/15 12:28,74,0.456043956
banana/20170314-4-0367.JPG,3,banana,train,2017/3/14 15:19,73,0.450549451
banana/160301-3-0814.JPG,3,banana,train,2016/3/2 16:09,62,0.39010989
banana/20170317-3-0356.JPG,3,banana,train,2017/3/17 11:09,76,0.467032967
banana/160305-3-0124.JPG,3,banana,train,2016/3/5 10:58,65,0.406593407
banana/20180309-1-0488.JPG,3,banana,train,2018/3/9 10:44,68,0.423076923
banana/20180309-1-0426.JPG,3,banana,train,2018/3/9 10:20,68,0.423076923
banana/20170314-3-0117.JPG,3,banana,valid,2017/3/14 11:45,73,0.450549451
banana/20170310-4-0115.JPG,3,banana,train,2017/3/10 15:02,69,0.428571429
banana/20170314-3-0068.JPG,3,banana,train,2017/3/14 10:40,73,0.450549451
banana/160303-3-0141.JPG,3,banana,valid,2016/3/3 10:39,63,0.395604396
banana/160302-3-0221.JPG,3,banana,train,2016/3/1 16:14,61,0.384615385
banana/160309-1-0109.JPG,3,banana,train,2016/3/9 15:13,69,0.428571429
banana/160316-3-1009.JPG,3,banana,train,2016/3/16 11:59,76,0.467032967
banana/160303-4-0603.JPG,3,banana,train,2016/3/3 16:21,63,0.395604396
banana/160305-3-0369.JPG,3,banana,test,2016/3/5 11:32,65,0.406593407
banana/160302-3-0077.JPG,3,banana,test,2016/3/1 15:02,61,0.384615385
banana/160305-3-0092.JPG,3,banana,train,2016/3/5 10:38,65,0.406593407
banana/20180314-1-0611.JPG,3,banana,test,2018/3/14 11:17,73,0.450549451
banana/20170310-4-0085.JPG,3,banana,train,2017/3/10 14:44,69,0.428571429
banana/20180329-2-0131.JPG,3,banana,valid,2017/3/29 15:23,88,0.532967033
banana/160305-3-0298.JPG,3,banana,test,2016/3/5 10:25,65,0.406593407
banana/160329-3-0505.JPG,3,banana,valid,2016/3/29 10:12,89,0.538461538
banana/20180323-2-0143.JPG,3,banana,train,2017/3/23 09:48,82,0.5
banana/20180328-1-0166.JPG,3,banana,valid,2018/3/28 09:53,87,0.527472527
